"","CustomerID","Amount","Frequency","Recency"
"1",12346,0,33.3333333333333,96
"2",12347,51.7883907393664,0,12
"3",12348,64.9583096869952,0,30
"4",12356,83.4533839728758,0,96
"5",12359,39.8349849391016,0,84
"6",12370,83.4533839728758,33.3333333333333,32
"7",12377,72.8685554633955,0,38
"8",12383,90.2657120821874,66.6666666666667,98
"9",12386,29.2414254740181,33.3333333333333,72
"10",12388,31.3805095967754,0,94
"11",12393,46.5287175681378,33.3333333333333,88
"12",12395,49.2549584552029,66.6666666666667,70
"13",12402,16.4141965338106,0,100
"14",12413,30.2163821830299,66.6666666666667,84
"15",12415,83.4533839728758,33.3333333333333,80
"16",12417,18.8726881157143,33.3333333333333,72
"17",12422,17.3527742611429,0,98
"18",12423,17.3113022220282,0,40
"19",12427,17.9384758661836,33.3333333333333,44
"20",12429,93.2393300446734,0,16
"21",12431,56.3110257417674,33.3333333333333,32
"22",12433,83.4533839728758,33.3333333333333,14
"23",12434,0,0,26
"24",12437,28.5720522111145,0,84
"25",12441,12.62714454097,0,14
"26",12451,83.4533839728758,0,98
"27",12471,83.4533839728758,100,86
"28",12472,83.4533839728758,33.3333333333333,8
"29",12474,15.6720653075479,66.6666666666667,88
"30",12476,0,66.6666666666667,24
"31",12480,59.3886875918569,0,74
"32",12481,83.4533839728758,66.6666666666667,74
"33",12483,36.9290318825395,33.3333333333333,68
"34",12484,82.8473101380946,0,74
"35",12489,24.3688246678599,0,74
"36",12490,62.8788870941925,0,88
"37",12494,2.75025101497359,100,70
"38",12500,25.0971318810844,0,80
"39",12501,83.4533839728758,0,74
"40",12503,0,0,72
"41",12510,49.551810945708,0,96
"42",12515,27.9172305408827,0,40
"43",12523,7.49043232781828,0,84
"44",12524,24.5478092577233,0,80
"45",12527,9.64188530434656,0,96
"46",12530,28.1864350053113,0,74
"47",12539,83.4533839728758,0,80
"48",12540,83.4533839728758,66.6666666666667,100
"49",12551,12.2233378443271,0,32
"50",12553,50.9531293200041,0,88
"51",12557,83.4533839728758,33.3333333333333,82
"52",12567,83.4533839728758,33.3333333333333,12
"53",12577,14.2525574424121,0,28
"54",12578,83.4533839728758,33.3333333333333,86
"55",12583,83.4533839728758,33.3333333333333,74
"56",12585,87.805037761383,33.3333333333333,70
"57",12586,0,0,10
"58",12600,19.9938883310778,33.3333333333333,32
"59",12601,10.4960637941823,0,82
"60",12605,0,0,16
"61",12621,99.8312015250069,66.6666666666667,32
"62",12626,79.7427278415623,0,94
"63",12637,83.4533839728758,0,100
"64",12643,63.3867376784389,0,82
"65",12647,82.9950088037136,100,32
"66",12649,0,0,16
"67",12651,8.29440782293622,0,78
"68",12652,66.9358711310953,0,84
"69",12662,19.0247522591348,0,0
"70",12665,4.49280423742379,33.3333333333333,98
"71",12666,0,0,28
"72",12668,34.1867842435355,0,36
"73",12672,16.4360239228184,0,88
"74",12673,16.0722341060229,0,94
"75",12678,16.0998821320994,33.3333333333333,40
"76",12681,83.4533839728758,100,98
"77",12682,83.4533839728758,66.6666666666667,70
"78",12683,83.4533839728758,100,100
"79",12686,6.48564485382925,0,4
"80",12691,13.0964334046361,0,32
"81",12705,62.4263325620989,0,32
"82",12708,35.0009458535237,33.3333333333333,88
"83",12709,95.7269248119207,33.3333333333333,32
"84",12712,51.5511997788158,100,84
"85",12720,46.501797121695,66.6666666666667,32
"86",12721,18.8770535935158,33.3333333333333,38
"87",12724,11.270208524323,0,82
"88",12725,31.1258567250186,0,4
"89",12726,12.3892260007858,0,32
"90",12728,18.3742960667045,0,82
"91",12731,77.9892609246082,0,18
"92",12734,8.0324791548435,0,42
"93",12735,23.2658139433361,0,72
"94",12736,17.025363426027,0,82
"95",12738,11.3029496078346,0,2
"96",12747,73.4353399979628,66.6666666666667,100
"97",12748,83.4533839728758,100,96
"98",12753,83.4533839728758,33.3333333333333,72
"99",12755,83.4533839728758,0,16
"100",12763,23.2883689119774,0,8
"101",12766,83.4533839728758,33.3333333333333,78
"102",12779,62.6722544782526,33.3333333333333,94
"103",12782,29.5324573274545,33.3333333333333,70
"104",12785,22.696846669868,0,18
"105",12791,14.0131837429607,0,0
"106",12793,39.6880138531162,33.3333333333333,78
"107",12797,14.128141325068,66.6666666666667,26
"108",12808,9.4148804586662,0,10
"109",12820,12.4023224341904,0,94
"110",12826,26.7545582864044,33.3333333333333,98
"111",12829,21.3180832642133,33.3333333333333,74
"112",12838,28.4330845010986,0,0
"113",12839,53.6553600791607,33.3333333333333,32
"114",12841,65.4661602712417,100,98
"115",12855,2.77207840398132,0,2
"116",12865,0,0,28
"117",12867,25.7956083293316,33.3333333333333,26
"118",12868,35.7066980981068,33.3333333333333,84
"119",12870,0,0,14
"120",12872,43.652595276553,33.3333333333333,94
"121",12875,21.3733793163662,0,22
"122",12877,18.2084079102458,33.3333333333333,88
"123",12913,30.385180658023,0,10
"124",12915,14.5261273846422,0,2
"125",12921,85.0904381484553,66.6666666666667,70
"126",12924,4.23378588786543,0,92
"127",12928,28.5458593443052,0,28
"128",12931,12.8781595145589,33.3333333333333,32
"129",12939,83.4533839728758,0,78
"130",12942,18.8261230191644,0,16
"131",12944,20.8778975858908,0,38
"132",12947,41.8976732003318,66.6666666666667,74
"133",12951,13.7287001062266,0,86
"134",12957,29.6146738260503,33.3333333333333,72
"135",12963,26.614862996755,0,16
"136",12967,83.4533839728758,33.3333333333333,30
"137",12971,57.5202630927955,100,84
"138",12980,83.4533839728758,66.6666666666667,84
"139",12989,73.6674379010783,33.3333333333333,92
"140",13000,14.6789191076963,0,18
"141",13001,58.6029015875788,0,94
"142",13004,49.7511677653119,33.3333333333333,80
"143",13008,12.9851137206967,33.3333333333333,100
"144",13011,3.67791504780198,0,2
"145",13013,83.4533839728758,33.3333333333333,4
"146",13021,9.97293403763042,33.3333333333333,30
"147",13027,83.4533839728758,0,38
"148",13029,27.8299209848518,0,40
"149",13030,31.121491247217,0,10
"150",13033,13.8640299180745,0,32
"151",13034,12.0676358027386,0,8
"152",13047,26.4606161144337,100,72
"153",13048,34.7499308799348,0,92
"154",13050,85.8594898211609,100,38
"155",13064,14.7916939509029,0,92
"156",13065,14.9779543371022,0,0
"157",13069,71.6709593865048,100,78
"158",13077,22.8256282650136,0,14
"159",13078,88.0706043276437,100,86
"160",13081,83.4533839728758,100,88
"161",13082,27.607281616973,0,70
"162",13089,83.4533839728758,100,94
"163",13090,82.7352628745216,100,100
"164",13092,13.4929643049432,0,28
"165",13093,83.4533839728758,100,86
"166",13094,27.3802767712926,66.6666666666667,72
"167",13097,78.3013925874187,33.3333333333333,72
"168",13102,83.4533839728758,100,82
"169",13104,7.40385035142096,0,38
"170",13107,40.6928013271053,33.3333333333333,88
"171",13108,25.4696526534829,0,2
"172",13113,69.9553266104975,100,84
"173",13115,0,33.3333333333333,72
"174",13117,28.2410034778306,33.3333333333333,16
"175",13124,91.4072845272915,0,28
"176",13126,38.1186245834607,100,82
"177",13136,0,0,16
"178",13138,14.0590212598769,0,2
"179",13140,11.6056227354084,0,14
"180",13144,8.072496034691,0,82
"181",13145,21.4635991909314,0,2
"182",13148,19.4518415040526,33.3333333333333,40
"183",13155,41.4138327439938,33.3333333333333,94
"184",13162,51.6552436664193,33.3333333333333,82
"185",13165,25.8028841256676,0,44
"186",13173,12.0734564398073,0,12
"187",13174,83.4533839728758,0,8
"188",13178,51.6581539849536,0,26
"189",13183,45.4766374179654,0,78
"190",13187,17.1723345120123,0,72
"191",13198,27.1823751109559,33.3333333333333,26
"192",13199,82.958629822034,100,94
"193",13209,30.2818643500531,66.6666666666667,94
"194",13211,8.05430654385122,0,24
"195",13221,36.2451070269641,0,28
"196",13225,83.4533839728758,33.3333333333333,70
"197",13230,6.79923167590693,0,16
"198",13233,22.1358827723694,0,74
"199",13238,6.63188836018102,0,26
"200",13240,16.3028768498712,0,16
"201",13246,49.7016923502277,33.3333333333333,94
"202",13253,34.667714381339,0,68
"203",13255,16.4214723301465,0,0
"204",13263,10.3068930894486,0,96
"205",13266,0,0,28
"206",13267,62.2349791184645,100,84
"207",13269,48.1781405974884,33.3333333333333,24
"208",13270,42.9271983818629,0,14
"209",13280,22.3621600384162,0,72
"210",13284,14.6381746482152,0,86
"211",13295,14.4024388469318,33.3333333333333,28
"212",13304,21.8579473523377,0,44
"213",13305,9.90963460950801,0,2
"214",13310,29.8438614106314,0,98
"215",13313,22.3585221402482,0,68
"216",13317,17.3200331776313,33.3333333333333,30
"217",13319,83.4533839728758,100,68
"218",13324,47.2999519797442,0,26
"219",13327,54.2046827025218,33.3333333333333,16
"220",13329,18.5969354345833,66.6666666666667,38
"221",13368,2.57563190291177,0,72
"222",13369,19.1899128359599,33.3333333333333,38
"223",13370,52.4817741301785,33.3333333333333,14
"224",13385,38.8942244728686,0,88
"225",13397,21.8215683706582,0,68
"226",13402,22.4298249443402,0,2
"227",13408,83.4533839728758,100,82
"228",13418,83.4533839728758,100,28
